PLC number;1;;;;;;;;;;;;;
Modbus Adr;1;;;;;;;;;;;;;
DB Block;10;;;;;;;;;;;;;
Offset DB Channel;1024;;;;;;;;;;;;;
Address;Name;Channel type;No of bits;Type;Initial value;Value;Comment;Channel name;Channel reference;;;Channel type: ;DI;digital input
+19.7;VerifAmbalajOUT_16;DO;1;BOOL;FALSE;;Eroare ansamblu post de lucru;;;;;;;
+20.0;EtichetareOUT_1;DO;1;BOOL;FALSE;;;;;;;;;
+20.1;EtichetareOUT_2;DO;1;BOOL;FALSE;;;;;;;;;
+20.2;EtichetareOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+20.3;EtichetareOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+20.4;EtichetareOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+20.5;EtichetareOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+20.6;EtichetareOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+20.7;EtichetareOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+21.0;EtichetareOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+21.1;EtichetareOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+21.2;EtichetareOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+21.3;EtichetareOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+21.4;EtichetareOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+21.5;EtichetareOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+21.6;EtichetareOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+21.7;EtichetareOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+22.0;ScanareOUT_1;DO;1;BOOL;FALSE;;;;;;;;;
+22.1;ScanareOUT_2;DO;1;BOOL;FALSE;;;;;;;;;
+22.2;ScanareOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+22.3;ScanareOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+22.4;ScanareOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+22.5;ScanareOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+22.6;ScanareOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+22.7;ScanareOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+23.0;ScanareOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+23.1;ScanareOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+23.2;ScanareOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+23.3;ScanareOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+23.4;ScanareOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+23.5;ScanareOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+23.6;ScanareOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+23.7;ScanareOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+24.0;DozareOUT_1;DO;1;BOOL;FALSE;;;;;;;;;
+24.1;DozareOUT_2;DO;1;BOOL;FALSE;;;;;;;;;
+24.2;DozareOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+24.3;DozareOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+24.4;DozareOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+24.5;DozareOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+24.6;DozareOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+24.7;DozareOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+25.0;DozareOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+25.1;DozareOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+25.2;DozareOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+25.3;DozareOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+25.4;DozareOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+25.5;DozareOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+25.6;DozareOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+25.7;DozareOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+26.0;CapacOUT_1;DO;1;BOOL;FALSE;;;;;;;;;
+26.1;CapacOUT_2;DO;1;BOOL;FALSE;;;;;;;;;
+26.2;CapacOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+26.3;CapacOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+26.4;CapacOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+26.5;CapacOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+26.6;CapacOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+26.7;CapacOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+27.0;CapacOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+27.1;CapacOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+27.2;CapacOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+27.3;CapacOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+27.4;CapacOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+27.5;CapacOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+27.6;CapacOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+27.7;CapacOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+28.0;SertizareOUT_1;DO;1;BOOL;FALSE;;;;;;;;;
+28.1;SertizareOUT_2;DO;1;BOOL;FALSE;;;;;;;;;
+28.2;SertizareOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+28.3;SertizareOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+28.4;SertizareOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+28.5;SertizareOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+28.6;SertizareOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+28.7;SertizareOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+29.0;SertizareOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+29.1;SertizareOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+29.2;SertizareOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+29.3;SertizareOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+29.4;SertizareOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+29.5;SertizareOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+29.6;SertizareOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+29.7;SertizareOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+30.0;MixareOUT_1;DO;1;BOOL;FALSE;;;;;;;;;
+30.1;MixareOUT_2;DO;1;BOOL;FALSE;;;;;;;;;
+30.2;MixareOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+30.3;MixareOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+30.4;MixareOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+30.5;MixareOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+30.6;MixareOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+30.7;MixareOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+31.0;MixareOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+31.1;MixareOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+31.2;MixareOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+31.3;MixareOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+31.4;MixareOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+31.5;MixareOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+31.6;MixareOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+31.7;MixareOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+32.0;Setpoint_TimpMixare;NI;16;INT;0;;;;;;;;;
+34.0;Activ_TimpMixare;NO;16;INT;0;;;;;;;;;
+36.0;Setpoint_SursaDozare;NI;16;INT;0;;;;;;;;;
+38.0;Activ_SursaDozare;NO;16;INT;0;;;;;;;;;
+40.0;Setpoint_Cantitate;FI;32;REAL;0.000000E+000;;[kg/g];;;;;;;
+44.0;Activ_Cantitate;FO;32;REAL;0.000000E+000;;;;;;;;;
+48.0;Setpoint_NumarPasi;FI;32;REAL;0.000000E+000;;[L/ml];;;;;;;
+52.0;Activ_NumarPasi ;FO;32;REAL;0.000000E+000;;;;;;;;;
+56.0;Densitate;FI;32;REAL;0.000000E+000;;;;;;;;;
+60.0;Presiune;FO;32;REAL;0.000000E+000;;;;;;;;;
=64.0;;;;END_STRUCT;;;;;;;;;;
